2016-02-16 21:03:20,721 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: lojavirtual-web:lojavirtual-web:0.0.1-SNAPSHOT @ D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\lojavirtual-web\pom.xml.
2016-02-16 21:03:26,406 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lojavirtual-web/src
2016-02-16 21:03:26,407 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /lojavirtual-web/src/test/java because it overlaps with /lojavirtual-web/src
2016-02-16 21:03:28,255 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 13 sec
2016-02-16 21:03:29,827 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:03:29,829 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\lojavirtual-web\src\main\resources
2016-02-16 21:03:29,832 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:03:29,833 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\lojavirtual-web\src\test\resources
2016-02-16 21:43:39,210 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:43:39,223 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\lojavirtual-web\src\main\resources
2016-02-16 21:43:39,224 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:43:39,225 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\lojavirtual-web\src\test\resources
2016-02-16 21:44:36,813 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: lojavirtual-web:lojavirtual-web:0.0.1-SNAPSHOT @ D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\pom.xml.
2016-02-16 21:44:41,602 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:44:41,603 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\main\resources
2016-02-16 21:44:41,604 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:44:41,605 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\test\resources
2016-02-16 21:44:43,090 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:44:43,091 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\main\resources
2016-02-16 21:44:43,092 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:44:43,093 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\test\resources
2016-02-16 21:44:58,056 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: rest-web:rest-web:0.0.1-SNAPSHOT @ D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\pom.xml.
2016-02-16 21:44:59,944 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
